LGM600(무기질패널),이중바닥재(AcessFloor),LG하우시스,102 000원㎡,(시공비·부가세별도)
방화석고보드,석고보드,한국보랄석고보드,3 931원㎡,(12.5㎜기준 15㎜:4 94019㎜:6 85225㎜:9 729 시공비·부가세별도)
방수석고보드,석고보드,한국보랄석고보드,3 662원㎡,(9.5㎜기준 12.5㎜:5 20815㎜:7 088 시공비·부가세별도)
아쿠아락(고성능방수방균석고보드),석고보드,한국보랄석고보드,10 417원㎡,(12.5㎜기준 15㎜:12 500 시공비·부가세별도)
차음석고보드,석고보드,한국보랄석고보드,3 565원㎡,(12.5㎜기준 15㎜:4 352 시공비·부가세별도)
저탄소석고보드,석고보드,한국보랄석고보드,2 764원㎡,(9.5㎜기준 시공비·부가세별도)
엑스블락(X-block),석고보드,한국보랄석고보드,46 000원㎡,(13㎜기준 시공비·부가세별도)
일반석고보드,석고보드,KCC,2 639원㎡,(12.5㎜기준 시공비·부가세별도)
방화석고보드,석고보드,KCC,3 931원㎡,(12.5㎜기준 시공비·부가세별도)
방화방수석고보드,석고보드,KCC,6 485원㎡,(12.5㎜기준 시공비·부가세별도)
방수석고보드,석고보드,KCC,5 182원㎡,(12.5㎜기준 시공비·부가세별도)
전방수석고보드(WATERWIN_고성능방수방균),석고보드,KCC,10 030원㎡,(12.5㎜기준 시공비·부가세별도)
방균석고보드,석고보드,KCC,3 203원㎡,(12.5㎜기준 시공비·부가세별도)
차음석고보드,석고보드,KCC,3 573원㎡,(12.5㎜기준 시공비·부가세별도)
고강도석고보드(HARDWIN),석고보드,KCC,4 976원㎡,(12.5㎜기준 시공비·부가세별도)
마이톤,암면흡음텍스(미네랄울천장재),KCC,36 600원㎡,(피셔드무늬기준천장틀·시공비28 800포함 부가세별도)
마이톤,암면흡음텍스(미네랄울천장재),KCC,38 200원㎡,(피셔드무늬기준 천장틀·시공비30 400포함 부가세별도)
마이톤,암면흡음텍스(미네랄울천장재),KCC,39 000원㎡,(피셔드무늬기준 천장틀·시공비31 200포함 부가세별도)
마이텍스,암면흡음텍스(미네랄울천장재),KCC,35 000원㎡,(피셔드무늬기준 천장틀·시공비27 200포함 부가세별도)
시스톤,암면흡음텍스(미네랄울천장재),벽산,35 527원㎡,(T-bar15㎜STF-400기준 시공비28 507포함 부가세별도)
이지톤,암면흡음텍스(미네랄울천장재),벽산,33 645원㎡,(12㎜EZ-1200기준 시공비26 805포함 부가세별도)
Sonar,암면흡음텍스(미네랄울천장재),고려신소재산업(Rockfon),27 200~40 900원㎡,(부가세·시공비별도 천장틀·시공비약27 200)
Artic Pacific Koral,암면흡음텍스(미네랄울천장재),고려신소재산업(Rockfon),11 600~18 500원㎡,(Artic기준 Pacific:10 200 Koral:18 500~27 900 부가세·시공비별도 천장틀·시공비약27 200)
MediCarePlus,암면흡음텍스,고려신소재산업(Rockfon),20 000~43 200원㎡,(부가세·시공비별도 천장틀·시공비약27 200)
엑시톤(Excitone),암면흡음텍스(미네랄울천장재),한국보랄석고보드,39 000원㎡,(시공비22 848포함 부가세별도)
엑시톤(Excitex),암면흡음텍스(미네랄울천장재),한국보랄석고보드,35 000원㎡,(시공비21 219포함 부가세별도)
아미텍스,석고시멘트계텍스,KCC,32 000원㎡,(피셔드무늬기준 천장틀·시공비24 200포함 부가세별도)
아스텍스,석고시멘트계텍스,벽산,30 904원㎡,(6㎜기준 시공비26 674포함 부가세별도)
집텍스클래식,석고계텍스,한국보랄석고보드,32 517원㎡,(시공비·부가세별도)
집텍스에코,석고계텍스,한국보랄석고보드,33 042원㎡,(시공비21 219포함 부가세별도)
석고보드천장재,석고보드,KCC,35 000원㎡,(시공비·부가세별도)
아트사운드,석고계흡음천장재,한국보랄석고보드,49 950원㎡,(시공비34 450포함 부가세별도)
센스텍스,SMC천장재,KCC,46 000원㎡,(시공비·부가세별도)
AL타일천장재,알루미늄천장재,유창,65 000~75 000원㎡,(시공비·부가세별도)
ALT-PANEL천장재,알루미늄천장재,유창,100 000~130 000원㎡,(시공비·부가세별도)
AL스팬드럴천장재,알루미늄천장재,유창,70 000~75 000원㎡,(시공비·부가세별도)
AL케노타일천장재,알루미늄천장재,유창,80 000~90 000원㎡,(시공비·부가세별도)
AL루버천장재,알루미늄천장재,유창,80 000~120 000원㎡,(시공비·부가세별도)
ALSCREEN천장재,알루미늄천장재,유창,100 000~130 000원㎡,(시공비·부가세별도)
AL오픈패널,알루미늄천장재,유창,85 000~100 000원㎡,(시공비·부가세별도)
AL토션패널,알루미늄천장재,유창,120 000~160 000원㎡,(시공비·부가세별도)
스팬드럴,알루미늄천장재,KCC,52 000원㎡,(시공비·부가세별도)
스퀘어,알루미늄천장재,KCC,62 000원㎡,(시공비·부가세별도)
아이소핑크,발포폴리스티렌단열재(발포수지계),벽산,16 852원㎡,(1호120㎜가등급 시공비·부가세별도)
폴리에스터흡음단열재(일반형),폴리에스터단열재(발포수지계),SK스카이비바,4 500원㎡,(24K50㎜기준 시공비·부가세별도)
폴리에스터흡음재(방염이중보드),폴리에스터단열재(발포수지계),SK스카이비바,13 500원㎡,(40K50㎜기준 시공비·부가세별도)
폴리에스터흡음재(텍스보드),폴리에스터단열재(발포수지계),SK스카이비바,27 000원㎡,(40K50㎜기준 시공비·부가세별도)
파이로셀(경질폴리우레탄폼),발포폴리우레탄폼단열재(발포수지계),영보화학,236원㎡,(1종3호 2종2호50㎜이상기준 시공비·부가세별도)
PolyurethaneFoam(경질폴리우레탄폼),발포폴리우레탄폼단열재(발포수지계),대동공영,350원㎡,(1㎜기준 시공비·부가세별도)
ULTRAFOAM(연질수성우레탄폼),발포폴리우레탄폼단열재(발포수지계),대동공영,250원㎡,(1㎜기준 시공비·부가세별도)
DHBM-350(친환경수성발포우레탄폼),발포폴리우레탄폼단열재(발포수지계),대동공영,400원㎡,(1㎜기준 시공비·부가세별도)
글라스울(유리면),무기질섬유계(글라스울),벽산,14 544원㎡,(48K120㎜기준가등급 시공비·부가세별도)
글라스울(유리면),무기질섬유계(글라스울),KCC,3 042원㎡,(25K50㎜기준 시공비·부가세별도)
그라스울로이,무기질섬유계(글라스울),KCC,4 368원㎡,(32K50㎜기준 부가세·시공비별도)
그라스울화이트,무기질섬유계(글라스울),KCC,3 276원㎡,(24K50㎜기준 부가세·시공비별도)
미네랄울(암면),무기질섬유계(미네랄울),벽산,11 480원㎡,(60K140㎜기준나등급 시공비·부가세별도)
미네랄울(암면),무기질섬유계(미네랄울),KCC,4 600원㎡,(60K50㎜기준 부가세·시공비별도)
브이팩,진공단열재,KCC,55 000원㎡,(15㎜기준 시공비·부가세별도)
흄드실리카진공단열재(FSVIP),진공단열재,한국보랄석고보드,56 615원㎡,(15㎜기준나등급 시공비포함 부가세별도)
에스코트E+,무기질단열뿜칠재(EPS계단열흡음뿜칠재),경동원,400원㎡,(1㎜㎡기준 시공비포함 부가세별도)
에스코트NT,무기질단열뿜칠재(퍼라이트계단열흡음뿜칠재),경동원,400원㎡,(1㎜㎡기준 시공비포함 부가세별도)
하이코트SP-2,무기질단열뿜칠재(세라믹계단열흡음뿜칠재),성현케미칼,350원㎡,(1㎜㎡기준 시공비포함 부가세별도)
에스코트NF-Ⅲ,철골내화피복재(퍼라이트계내화피복재),경동원,,
에스코트UL,철골내화피복재(퍼라이트계내화피복재),경동원,5 200원㎡,(1hr12㎜기준 2hr22㎜:9 600 3hr32㎜:14 000 4hr36㎜:15 700 시공비포함 부가세별도)
하이코트ET-II,철골내화피복재,성현케미칼,3 600원㎡,(1hr9㎜기준 2hr18㎜:7 200 3hr28㎜:11 200 시공비포함 부가세별도)
PFBOARD(페놀수지발포폼),페놀수지발포폼,LG하우시스,0,(부가세·시공비별도)
